id,question,letter,answer,img
39,Jakiego rodzaju mechanizm kontroli bezpieczeństwa wykonywania aplikacji zawiera środowisko uruchomieniowe platformy .NET Framework?,D,Mechanizm wykonywania aplikacji oparty na uprawnieniach kodu (CAS - Code Access Security) i na rolach (RBS - Role-Based Security),0
40,Co to jest DBMS?,B,System zarządzania bazą danych,0
41,Który z odsyłaczy posiada poprawną konstrukcję?,D,< a href="mailto:adres" > tekst < /a >,0
42,Fragment kodu napisany w języku HTML zamieszczony w ramce przedstawia listę,B,numerowaną,1
43,Polecenie colspan służy do łączenia komórek tabeli w poziomie natomiast rowspan w pionie. Którą z tabel wyświetli fragment kodu napisany w języku HTML?,B,B,1
44,W znaczniku <head> (w części <meta ... >) strony www NIE umieszcza się informacji dotyczącej,C,typu dokumentu,0
45,Wskaż sposób w jaki należy odwołać się do pliku default.css jeśli index.html znajduje się bezpośrednio w katalogu ?,A,< link rel="stylesheet" type="text/css" href="./style/default.css" / >,1
46,Wskaż stwierdzenie które jest prawdziwe dla następującej definicji stylu:,B,Zdefiniowano dwie klasy,1
47,W palecie kolorów RGB kolor żółty jest połączeniem dwóch kolorów: zielonego i czerwonego. Który z kodów szesnastkowych oznacza kolor żółty?,C,#FFFF00,0
48,Który z formatów NIE pozwala na zapis plików animowanych?,B,ACE,0
49,Który z formatów graficznych pozwala na zapis przejrzystego tła?,A,GIF,0
50,Proces walidacji strony internetowej to,B,sprawdzenie jej w celu wyeliminowania błędów,0
51,Które oprogramowanie NIE JEST systemem zarządzania treścią (CMS)?,B,Apache,0
52,Który z formatów zapewnia największa redukcję rozmiaru pliku dźwiękowego?,C,MP3,0
53,Wskaż prawidłową kolejność tworzenia bazy danych,C,Określenie celu stworzenie tabel utworzenie relacji normalizacja,0
54,Wskaż typ relacji pomiędzy tabelami: Tabela1 i Tabela3,D,Wiele do wielu,1
55,Które z pól są umieszczone w formularzu?,B,Input(Text) Select Input(Radio) Input(Radio) Input(Submit) Input(Reset),1
56,Którą z właściwości pola tabeli należy zdefiniować aby pole przyjmowało dane składające się wyłącznie z cyfr?,C,Maskę wprowadzania,1
57,Którego ze słów kluczowych języka SQL należy użyć aby wyeliminować duplikaty?,B,DISTINCT,0
58,Które ze stwierdzeń prawidłowo charakteryzuje zdefiniowaną tabelę: CREATE TABLE dane (kolumna INTEGER(3));,B,Tabela o nazwie posiada jedną kolumnę liczb całkowitych,0
59,Polecenie REVOKE SELECT ON nazwa1 FROM nazwa2 w języku SQL umożliwia,B,odbieranie uprawnień użytkownikowi,0
60,Które polecenie wydane z konsoli systemu operacyjnego zawierające w swojej składni opcję --repair umożliwia naprawę bazy danych?,A,mysqlcheck,0
61,Które polecenie wydane z konsoli systemowej dokona przywrócenia bazy danych?,C,mysql -u root -p baza < kopia.sql,0
62,Polecenie w języku SQL GRANT ALL PRIVILEGES ON klienci TO pracownik,D,nadaje wszystkie uprawnienia do tabeli użytkownikowi,0
63,Która z wymienionych funkcji sortowania wykorzystywana w języku PHP sortuje tablicę asocjacyjną według indeksów,D,ksort(),0
64,W skrypcie PHP należy utworzyć cookie o nazwie które przyjmie wartość . Cookie ma być dostępne przez jedną godzinę od jego utworzenia. W tym celu należy w skrypcie PHP użyć funkcji:,C,setcookie("owoce""jabłko"time()+3600);,0
65,Wskaż słowo kluczowe w języku C++ dodawane przed wbudowanym typem danych które przesuwa zakres liczby wyłącznie nieujemne,D,unsigned,0
66,W językach programowania tylko zmienna jednego typu wbudowanego może przyjmować wyłącznie dwie wartości. Jest to typ,A,logiczny,0
67,Instrukcja języka PHP tworząca obiekt dla zdefiniowanej w ramce klasy ma postać,B,pkt = new Punkt();,1
68,Wskaż wynik wykonania skryptu napisanego w języku PHP,A,A,1
69,Które ze stwierdzeń dotyczących języków programowania NIE jest prawdziwe,C,SQL jest językiem programowania strukturalnego,0
70,Jaka wartość zostanie wypisana na standardowym wyjściu dla zamieszczonego w ramce fragmentu programu napisanego w języku C++,C,3,1
71,Wskaż stwierdzenie które nie jest prawdziwe dla następującej definicji funkcji w języku C++?,A,Funkcja zwraca wartość,1
72,Element zadeklarowany w języku C++ double *x; to,D,Wskaźnik,0
73,Wskaż prawidłową kolejność tworzenia aplikacji,B,Analiza wymagań klienta specyfikacja wymagań tworzenie testy wdrażanie,0
74,Jaką wartość zwróci funkcja zao zdefiniowana w języku C++ wywołana z aktualnym parametrem 3.55,B,4,1
75,Proces tłumaczenia kodu źródłowego pisanego przez programistę na zrozumiały dla komputera kod maszynowy to,C,kompilowanie,0
76,Które ze stwierdzeń w odniesieniu do zamieszczonej w ramce definicji funkcji jest poprawne?,D,Wczytanie tekstu zakończy się gdy tekst będzie się składał przynajmniej z 3 znaków,1
77,Po wykonaniu zamieszczonego w ramce skryptu napisanego w języku JavaScript w przeglądarce zostanie wypisana wartość,B,125,1
78,Poprzez deklarację var x="true"; w języku JavieScript tworzy się zmienną typu,C,String (ciąg znaków),0
79,Platforma wspierająca programowanie w technologii .NET to,C,framework,0
80,Proces w którym wykrywa się i usuwa błędy w kodzie źródłowym programów to,B,Debugowanie,0
81,Aby ustawić tło na stronie www należy użyć polecenia,B,< body bgcolor="" > < /body >,0
82,Parametr face znacznika <font> służy do określenia,B,nazwy czcionki,0
83,Kodowanie w standardzie ISO-8859-2 stosowane jest w celu poprawnego wyświetlenia,B,polskich liter takich jak: ś ć ń ó ą,0
84,Zamieszczony w ramce kod wyświetla tabelę składajacą się z,C,jednego wiersza i dwóch kolumn,1
85,Kaskadowe arkusze stylów tworzy się w celu,D,definiowania sposobu formatowania elementów strony internetowej,0
86,Które polecenie w CSS służy do załączenia zewnętrznego arkusza stylów?,B,import,0
87,Selektor CSS a:link {color:red} zawarty w kaskadowych arkuszach stylów definiuje,B,pseudoklasę,0
88,Jak nazywa się edytor wspomagający tworzenie stron internetowych którego sposób działania można w polskim tłumaczeniu określić jako: otrzymujesz to co widzisz?,B,WYSIWYG,0
89,Kolor 255 12 12 w modelu RGB na stronie www powinien być zapisany w postaci,D,#FF0C0C,0
90,CMYK to zestaw czterech podstawowych kolorów farb drukarskich:,D,turkusowego purpurowego żółtego czarnego,0
91,Cechą formatu PNG jest,B,bezstratna kompresja,0
92,Saturacja koloru nazywana jest inaczej,B,nasyceniem koloru,0
93,Kanał alfa służy do zdefiniowania,B,przezroczystość obiektu graficznego,0
94,Częstotliwość próbkowania ma wpływ na,A,jakość cyfrowego dzwięku,0
95,Wysokość dźwięku zależy od,D,częstotliwości drgania fali akustycznej,0
96,Typ stało-znakowy w języku SQL to,A,char,0
97,Operator arytmetyczny modulo w języku SQL to,D,%,0
98,Polecenie w języku SQL ALTER TABLE USA... ma za zadanie,B,modyfikację tabeli USA,0
99,Kod: SELECT imie pesel wiek FROM dane WHERE wiek IN (1830) spowoduje wybranie:,D,imion numerów PESEL i wieku osób w wieku równym 18 lub 30 lat,0
100,Aby policzyć wszystkie wiersze tabeli Koty należy użyć polecenia:,A,SELECT COUNT(*) FROM Koty,0
101,Aby podczas tworzenia tabeli utworzyć klucz obcy na wielu kolumnach należy użyć polecenia,C,CONSTRAINT fk_osoba_uczen FOREIGN KEY (nazwisko imie) REFERENCES osoby (nazwiskoimie),0
102,W algebrze relacji operacja selekcji polega na,B,wybraniu krotek spełniających określone warunki,0
103,Relacja w bazach danych jest,A,logicznym połączeniem tabel,0
104,Wskaż poprawną kolejność etapów projektowania relacyjnej bazy danych,D,Określenie zbioru danych Selekcja Określenie kluczy podstawowych tabel Określenie relacji,0
105,Formularze do obsługi baz danych tworzy się w celu,D,wygodniejszego wprowadzania edytowania i usuwania danych,0
106,Integralność referencyjna w modelu relacyjnych baz danych oznacza że,D,wartość klucza obcego w danej tabeli musi być albo równa wartości klucza głównego w tabeli z nia powiązanej albo równa wartości NULL,0
107,Deklaracja w języku JavaScript: var x=true; powoduje że zmienna x jest typu,A,logicznego,0
108,Obiekt typu array w języku Javascript służy do przechowywania,B,wielu wartości dowolnego typu,0
109,Ukrywanie pewnych pól lub metod obiektów danej klasy tak aby były one dostępne tylko metodom wewnętrznym tej klasy lub funkcjom zaprzyjaźnionym to,B,hermetyzacja,0
110,Odwoływanie funkcji do samej siebie to,B,rekurencja,0
111,W języku PHP zmienna $_GET jest zmienną,A,predefiniowaną używaną do przekazywania danych do skryptów PHP poprzez adres strony,0
112,W języku PHP w instrukcji switch musi występować,B,konstrukcja switch(wyrażenie),0
113,Konstruktor w języku PHP jest metodą o nazwie,D,_construct,0
114,Debugger to program służący do,C,wyszukiwania błędów w kodzie programu,0
115,Kod zamieszczony w ramce spowoduje wypisanie liczb,C,2 4 6 8 10,1
116,Który kod jest alternatywny do kodu zamieszczonego w ramce?,A,A,1
117,Zamieszczony w ramce fragment skryptu w języku JavaScript,C,przypisze zmiennej s długość napisu ze zmiennej t,1
118,Zamieszczony w ramce fragment kodu w JavaScript wypisze,A,"ze",1
119,Który fragment kodu JavaScript zwróci wartość true?,D,"def" > "abc",0
120,W kodzie PHP znak "//" oznacza,D,początek komentarza jednoliniowego,0
121,Zapisując hasło użytkownika serwisu WWW (np. bankowości internetowej) w celu jego zabezpieczenia przed odtajnieniem zwykle używa się funkcji,A,klucza,0
122,W celu określenia wysokości obrazka wyświetlonego na stronie WWW należy wykorzystać właściwość CSS o nazwie,C,height,0
123,Aby ustawić czcionkę Verdana w kodzie CSS należy wykorzystać właściwość,A,font-family: Verdana;,0
124,Funkcja zapisana językiem PHP służy do,D,pobrania danych z bazy danych,1
125,Kwerenda pozwalająca na wprowadzenie zmian w wielu rekordach lub przeniesienie wielu rekordów przy użyciu pojedynczej operacji nosi nazwę kwerendy,B,funkcjonalnej,0
126,Wskaż rezultat działania fragmentu kodu JavaScript,B,Dodanie akapitu na koniec strony,1
127,Fizyczny model replikacji bazy danych przedstawiony na rysunku jest modelem,D,centralnego wydawcy,1
128,Za pomocą którego protokołu należy wysłać pliki na serwer WWW?,B,FTP,0
129,Wynikiem działania zamieszczonej pętli zapisanej językiem PHP jest wypisanie kolejnych liczb,A,od 10 do 1,1
130,Które z poleceń naprawi uszkodzoną tabelę w języku SQL?,B,REPAIR TABLE tblname,0
131,Który z wymienionych formatów plików graficznych obsługuje przezroczystość?,B,PNG,0
132,Który zapis stylu CSS ustawi tło bloku na kolor niebieski?,D,div {background-color: blue;},0
133,Domyślna nazwa pliku konfiguracyjnego serwera Apache to,D,.htaccess,0
134,Organizacja zajmująca się ustalaniem standardu dla języka HTML nosi nazwę,A,W3C,0
135,Który z wymienionych systemów nie jest systemem CMS?,B,Adobe Flash,0
136,Która ze zdefiniowanych funkcji w języku PHP jako wynik zwraca połowę kwadratu wartości przekazanej?,C,function licz($a) { return $a*$a/2; },0
137,W strukturalnych językach programowania w celu przechowania informacji o 50 uczniach (ich imionach nazwiskach średniej ocen) należy użyć,A,tablicy 50 elementów o składowych strukturalnych,0
138,Aby zobaczyć wyniki działania skryptu napisanego w języku PHP będącego elementem strony WWW musi być on,A,zinterpretowany po stronie serwera,0
139,Projektowanie logicznego układu witryny polega na,A,rozmieszczeniu elementów w konkretnych miejscach witryny,0
140,Prosta animacja może być zapisana w formacie,C,GIF,0
141,Która z instrukcji umożliwia wysłanie tekstu do przeglądarki?,A,echo,0
142,Aby stworzyć tabelę w bazie danych należy zastosować polecenie SQL,D,CREATE TABLE,0
143,Zdarzenie JavaScript będące reakcją na pojedynczo kliknięty dowolny element strony nosi nazwę,A,onClick,0
144,W skład typowego frameworka wchodzą,A,zarządzanie komunikacją z bazą danych mechanizm uruchamiania i przetwarzania akcji,0
145,W celu stworzenia relacji wiele do wielu łączącej tabele A i B wystarczy że,C,zdefiniuje się trzecią tabelę z kluczami obcymi do tabel A i B,0
146,W celu zapewnienia spójności danych w bazie programu Microsoft Access należy skorzystać,A,z więzów integralności,0
147,W załączonym fragmencie kodu CSS kolor jest zapisany w postaci,D,szesnastkowej,1
148,W języku skryptowym JavaScript zmienne mogą być deklarowane,A,w momencie pierwszego użycia zmiennej,0
149,W językach programowania zmienna typu integer służy do przechowywania,B,liczby całkowitej,0
150,Jeśli rozmiar pliku graficznego jest zbyt duży do publikacji w Internecie należy,B,zmniejszyć jego rozdzielczość,0
151,Które z poleceń umożliwia dodanie kolumny zadaniekompletne do tabeli zadania?,A,ALTER TABLE zadania ADD COLUMN zadaniekompletne int,0
152,W bazie danych w celu uporządkowania listy uczniów według roku urodzenia należy użyć polecenia,B,SELECT imienazwiskoklasa from uczniowie order by rok_urodzenia,0
153,Wskaż dwa sposoby zabezpieczenia bazy danych Microsoft Access,A,Ustalanie hasła do otwarcia bazy danych oraz zabezpieczeń na poziomie użytkownika,0
154,W zamieszczonym przykładzie pseudoklasa hover sprawi że styl pogrubiony będzie przypisany,A,odnośnikowi w momencie kiedy najechał na niego kursor myszy,1
155,Certyfikat SSL jest stosowany do,B,zidentyfikowania właściciela domeny,0
156,W języku SQL przywilej SELECT polecenia GRANT pozwala użytkownikowi baz danych na,A,odczyt danych z tabeli,0
157,W języku HTML atrybut alt znacznika img jest wykorzystywany w celu zdefiniowania,B,tekstu który będzie wyświetlony jeśli nie może być wyświetlona grafika,0
158,Warunek zapisany językiem PHP wypisze liczbę gdy,A,jest ona parzysta,1
159,Analizując przedstawiony kod zapisany w języku HTML można stwierdzić że w przeglądarce,B,blok B będzie oddalony od bloku A o 20 px,1
160,Baza danych zawiera tabelę o nazwie pracownicy o polach: nazwisko imie pensja wiek. Jak wygląda składnia polecenia wyznaczającego średnią pensję pracowników?,C,select AVG (pensja) from pracownicy,0
161,Do reprezentacji liczb zmiennoprzecinkowych w języku C stosowany jest typ,D,double,0
162,Polecenie SQL o treści: UPDATE artykuly SET cena = cena * 0.7 WHERE kod = 2; oznacza,B,w tabeli artykuly obniża wartość każdego pola cena dla którego pole kod jest równe 2,0
163,Do edycji grafiki wektorowej stosuje się program,D,Corel Draw,0
164,W programowaniu obiektowym mechanizm współdzielenia pól i metod klasy w taki sposób że klasa pochodna zawiera metody zdefiniowane w klasie bazowej nazywa się,D,dziedziczeniem,0
165,Który z wymienionych znaczników języka HTML nie jest stosowany w celu formatowania tekstu?,C,<div>,0
166,Aby zdefiniować w języku HTML listę nienumerowaną należy użyć znacznika,D,<ul>,0
167,W języku CSS właściwość font-size przyjmuje według słów kluczowych wartości,D,ze zbioru xx-small x-small medium large x-large xx-large,0
168,W języku CSS w celu zdefiniowania wewnętrznego górnego marginesu czyli odstepu między elementem a otaczającym go obramowaniem należy użyć polecenia,A,padding-top,0
169,Funkcja edytor WYSIWYG Adobe Dreamweaver służy do,A,wyświetlania interaktywnego drzewa struktury HTML dla zawartości statycznej i dynamicznej,0
170,Aby witryna internetowa prawidłowo skalowała się w urządzeniach mobilnych należy wielkość czcionki zdefiniować,B,w procentach,0
171,Znacznik meta języka HTML należy umieścić,B,w części nagłówkowej witryny internetowej,0
172,Prawidłowy zgodny ze standardem języka XHTML zapis samozamykającego się znacznika odpowiadającego za łamanie linii ma postać,B,<br />,0
173,Najprostszą i najmniej pracochłonną metodą przetestowania działania witryny internetowej w wielu przeglądarkach i ich różnych wersjach jest,B,skorzystanie z emulatora przeglądarek internetowych np. Browser Sandbox,0
174,Aby przenieść witrynę na serwer można skorzystać z oprogramowania,C,FileZilla,0
175,Kolor zapisany kodem RGB o wartości rgb(255 128 16) w kodzie szesnastkowym będzie miał wartość:,C,#ff8010,0
176,Plik graficzny należy zapisać w formacie GIF jeżeli,D,jest potrzeba zapisu obrazu lub animacji,0
177,Aby dopasować dźwięk do danego poziomu głośności należy użyć efektu,B,normalizacji,0
178,Instrukcja DROP języka SQL ma za zadanie,A,usunąć istniejący obiekt,0
179,Baza danych zawiera tabelę uczniowie z polami: imie nazwisko klasa. Aby odnaleźć imiona i nazwiska tych uczniów których nazwiska rozpoczynają się literą M należy zastosować polecenie SQL,B,SELECT nazwisko imie FROM uczniowie WHERE nazwisko LIKE "M%";,0
180,Baza danych zawiera tabele z polami: . Aby wyświetlić wszystkie nazwy artykułów wyłącznie typu pralka dla których cena jest z przedziału 1000 PLN i 1500 PLN należy zastosować polecenie,D,SELECT nazwa FROM artykuly WHERE typ="pralka" AND cena BETWEEN 1000 AND 1500;,0
181,Wartość pola tabeli pełniącego rolę klucza podstawowego,A,musi być unikalna,0
182,Aby utworzyć relację jeden do wielu w tabeli po stronie  należy zdefiniować,C,klucz obcy wskazujący na klucz podstawowy tabeli po stronie,0
183,Narzędziem służącym do grupowania i prezentowania informacji z wielu rekordów w celu ich drukowania lub rozpowszechniania jest,A,raport,0
184,Aby uprościć wprowadzenie i edytowanie danych w tabeli należy zdefiniować,B,formularz,0
185,Baza danych 6-letniej szkoły podstawowej zawiera tabelę z polami: . Wszyscy uczniowie klas 1-5 zdali do następnej klasy. Aby zwiększyć wartość w polu klasa o 1 należy użyć polecenia,C,UPDATE szkola SET klasa=klasa+1 WHERE klasa>=1 AND klasa <=5;,0
186,Uprawnienia obiektowe nadawane użytkownikom serwera bazy danych mogą pozwalać lub zabraniać,D,wykonywać operacje na bazie takie jak wstawanie lub modyfikowanie danych,0
187,Przed wykonaniem kopii bezpieczeństwa bazy danych tak aby kopia ta była poprawna i możliwa do późniejszego odtworzenia należy sprawdzić,D,spójność bazy danych,0
188,W MS SQL Server polecenie RESTORE DATABASE służy do,A,odtworzenia bazy danych z kopii bezpieczeństwa,0
189,W języku PHP zmienna typu float przyjmuje wartości,D,zmiennoprzecinkowe,0
190,Dany jest fragment kodu PHP z zdeklarowaną zmienną typu tablicowego. W wyniku wykonania kodu zostanie wpisane imię,C,Krzysztof,1
191,Przedstawiony kod języka PHP,B,definiuje tablicę z trzema wartościami,1
192,W języku JavaScript poprawnie nadana zmienna to,B,imie2,0
193,Zakładając że zmienne: a b c przechowują wartości numeryczne wynikiem działania warunku będzie wypisanie liczby,B,największej,1
194,Fragment kodu języku PHP ma następującą postać. Wynikiem działania pętli będzie wypisanie liczb:,C,048121620,1
195,Zadaniem funkcji zapisanej w języku PHP jest,C,Zwrócenie wartości 1 gdy liczba jest parzysta,1
196,Wykonanie kodu JavaScript w przeglądarce wymaga,C,interpretowania,0
197,Kod strony WWW napisanej w języku PHP,B,jest wykonywany po stronie serwera,0
198,Zakładając że zmienna tablicowa $tab jest wypełniona liczbami naturalnymi wynikiem programu będzie wypisanie,A,największego elementu tablicy,1
199,Fragment kodu w języku JavaScript realizujący dodawanie dwóch liczb ma następującą postać. Aby dodawanie wykonane było po kliknięciu przycisku o nazwie  należy w wykropkowane miejsce wstawić,D,<button onclick="return dodaj()">dodaj</button>,1
200,Komentarz w języku JavaScript rozpoczyna się od znaku lub znaków,C,//,0
201,Polecenie pg_connect języka PHP służy do połączenia z bazą,C,PostgreSQL,0
202,Aby zamieścić aplikację PHP w internecie należy jej pliki źródłowe skopiować na serwer za pomocą protokołu,A,FTP,0
203,Personalizowanie wyglądu strony dla danego użytkownika i jego identyfikacja w serwisie są możliwe dzięki mechanizmowi,D,cookie,0
204,Automatyczna weryfikacja właściciela strony udostępnianej przez protokół HTTPS jest możliwa dzięki,C,certyfikatowi SSL,0
205,Do grupowania obszarów na poziomie bloków które będą formatowane za pośrednictwem znaczników należy użyć,B,<div>,0
206,Znacznik <i> języka HTML służy do,C,zmiany kroju pisma na pochylony,0
207,Poniżej przedstawiono fragment kodu języka HTML. Jest on definicją listy:,C,C,1
208,Kod języka CSS można umieścić wewnątrz kodu HTML posługując się znacznikiem,B,<style>,0
209,Chcąc zdefiniować formatowanie tabeli w języku CSS w taki sposób aby wiersz który jest aktualnie wskazywany kursorem myszy został wyróżniony np. innym kolorem należy zastosować,B,pseudoklasę :hover,0
210,Aby uzyskać efekt rozstrzelenia liter w selektorze CSS należy użyć właściwości,C,letter-spacing,0
211,Blok deklaracji postaci background-attachment: scroll powoduje że,B,tło strony będzie przewijane razem z tekstem,0
212,Ikona która wyświetlona jest przed adresem w polu adresowym przeglądarki internetowej lub przy tytule otwartej karty przeglądarki nosi nazwę,B,favicon,0
213,Aby poprawnie zdefiniować hierarchiczną strukturę tekstu witryny internetowej należy zastosować,D,znaczniki <h1> <h2> oraz <p>,0
214,Która z reguł walidacji strony internetowej jest błędna?,A,Jeżeli w instrukcji używa się kilku atrybutów ich kolejność powinna być zgodna z alfabetem np. <img alt="...." src="...." />,0
215,Oznaczenie barwy w postaci #ff00e0 jest równoważne zapisowi,D,rgb(2550224),0
216,Formatem zapisu rastrowych plików graficznych z kompresją bezstratną jest,B,PNG,0
217,Podczas obróbki grafiki rastrowej w programie z obsługą kanałów dodanie kanału alfa oznacza,A,dodanie warstwy z przezroczystością,0
218,Aby pozbyć się nienaturalnego odwzorowania ukośnych krawędzi linii w grafice rastrowej czyli tak zwanego schodkowania należy zastosować filtr,D,antyaliasingu,0
219,Formatem bezstratnej kompresji dźwięku jest,D,FLAC,0
220,W języku SQL polecenie INSERT INTO,C,wprowadza dane do tabeli,0
221,W języku SQL klauzula DISTINCT instrukcji SELECT sprawi że zwrócone dane,B,nie będą zawierały powtórzeń,0
222,Zdefiniowano bazę danych z tabelą sklepy o polach: nazwa ulica miasto branza. Aby wyszukać wszystkie nazwy sklepów spożywczych zlokalizowanych wyłącznie we Wrocławiu należy posłużyć się kwerendą:,D,SELECT nazwa FROM sklepy WHERE branza="spozywczy" AND miasto="Wrocław";,0
223,Zdefiniowano bazę danych z tabelą podzespoły o polach: model producent typ cena. Aby wyświetlić wszystkie modele pamięci RAM firmy Kingston w kolejności od najtańszej do najdroższej należy posłużyć się kwerendą:,A,SELECT model FROM podzespoly WHERE typ="RAM" AND producent="Kingston" ORDER BY cena ASC;,0
224,W celu przyspieszenia operacji na bazie danych należy do pól często wyszukiwanych lub sortowanych,A,utworzyć indeks,0
225,Jednoznacznym identyfikatorem rekordu w bazie danych jest pole,A,klucza podstawowego,0
226,Zdefiniowano bazę danych z tabelą mieszkancy o polach: nazwisko imie miasto. Następnie stworzono następujące zapytanie do bazy: SELECT nazwisko imie FROM mieszkancy WHERE miasto="Poznań" UNION ALL SELECT nazwisko imie FROM mieszkancy WHERE miasto="Kraków"; Wskaż zapytanie które zwróci identyczne dane:,C,SELECT nazwisko imie FROM mieszkancy WHERE miasto="Poznań" OR miasto="Kraków";,0
227,W bazie danych sklepu istnieje tabela artykuly zawierająca pole o nazwie nowy. Aby to pole wypełnić wartościami TRUE dla każdego rekordu należy zastosować kwerendę,A,UPDATE artykuly SET nowy=TRUE;,0
